github.com/AlDanial/cloc v 1.76  T=1.51 s (83.7 files/s, 5363.4 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            45           1228           1603           4630
XML                             12             83              1            403
JSON                            67              0              0             67
HTML                             1              6              0             27
Markdown                         1             12              0             16
-------------------------------------------------------------------------------
SUM:                           126           1329           1604           5143
-------------------------------------------------------------------------------
